address,symbol,decimals,price
0x38a94e92a19e970c144ded0b2dd47278ca11cc1f,F9,9,0.0006211872311158829
0xf8e57ac2730d3088d98b79209739b0d5ba085a03,OPAI,18,1.739e-05
0x4d1c297d39c5c1277964d0e3f8aa901493664530,PUFFER,18,0.203729
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,SHI,18,4.84915e-07
0x8c7ac134ed985367eadc6f727d79e8295e11435c,Kekec,18,0.00013601
0xbe1a001fe942f96eea22ba08783140b9dcc09d28,beta,18,0.00457029
0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,glm,18,0.231084
0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,OHM,9,22.72
0x58b6a8a3302369daec383334672404ee733ab239,LPT,18,6.72
0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,TRAC,18,0.345483
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,9,8.944e-05
0xd29da236dd4aac627346e1bba06a619e8c22d7c5,MAGA,9,9.15e-06
0x28a062b8cd62a219210211f2085281c0aca2b2b9,BNPL,18,0.01929639
0xb01dd87b29d187f3e3a4bf6cdaebfb97f3d9ab98,Bold,18,0.996898
0x5afe3855358e112b5647b952709e6165e1c1eeee,safe,18,0.415311
0x4c11249814f11b9346808179cf06e71ac328c1b5,ORAI,18,2.5
0xe355de6a6043b0580ff5a26b46051a4809b12793,4EVER,18,0.00234663
0x856c4efb76c1d1ae02e20ceb03a2a6a08b0b8dc3,OETH,18,4295.65
0xec213f83defb583af3a000b1c0ada660b1902a0f,PRE,18,0.00542964
0x69984efc8244f855a6fecdce254fe51b2836530e,EFG,18,1.727e-05
0xfc82bb4ba86045af6f327323a46e80412b91b27d,prom,18,9
0xf4308b0263723b121056938c2172868e408079d0,CRYO,18,0.974418
0x698b1d54e936b9f772b8f58447194bbc82ec1933,PEEZY,9,3e-06
0x0bc37bea9068a86c221b8bd71ea6228260dad5a2,SPARKLET,18,0.02826162
0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,bzz,16,0.13761
0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,gomining,18,0.511939
0xca7af58da871736994ce360f51ec6cd28351a3df,GATSBY,18,0.03997998
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,ondo,18,0.911305
0x9ad37205d608b8b219e6a2573f922094cec5c200,iZi,18,0.00420561
0xcc42b2b6d90e3747c2b8e62581183a88e3ca093a,LOTUS,18,7.16e-05
0xa3ee21c306a700e682abcdfe9baa6a08f3820419,ctc,18,0.596153
0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,MNW,18,0.088034
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,ARB,18,0.487321
0x8be3460a480c80728a8c4d7a5d5303c85ba7b3b9,sENA,18,0.683847
0x944824290cc12f31ae18ef51216a223ba4063092,MASA,18,0.01340765
